,iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
0,CHN,China,1447065329,1439323776,9706961,149,0.34,18.34,1
1,IND,India,1401310563,1380004385,3287590,424,0.97,17.69,2
2,USA,United States,334058426,331002651,9372610,36,0.58,4.23,3
3,IDN,Indonesia,278037263,273523615,1904569,145,1.04,3.51,4
4,PAK,Pakistan,227724796,220892340,881912,255,1.95,2.86,5
5,BRA,Brazil,214832901,212559417,8515767,25,0.67,2.72,6
6,NGA,Nigeria,214507696,206139589,923768,229,2.55,2.68,7
7,BGD,Bangladesh,167247491,164689383,147570,1,0.98,2.11,8
8,RUS,Russia,145899956,145934462,17098242,9,-0.02,1.85,9
9,MEX,Mexico,131046075,128932753,1964375,66,1.03,1.65,10
10,JPN,Japan,125802521,126476461,377930,334,-0.34,1.6,11
11,ETH,Ethiopia,119590501,114963588,1104300,107,2.53,1.5,12
12,PHL,Philippines,111913102,109581078,342353,324,1.34,1.41,13
13,EGY,Egypt,105390688,102334404,1002450,104,1.88,1.32,14
14,VNM,Vietnam,98655916,97338579,331212,296,0.85,1.25,15
15,TUR,Turkey,85484777,84339067,783562,109,0.83,1.08,17
16,IRN,Iran,85627052,83992949,1648195,52,1.23,1.08,18
17,DEU,Germany,83975691,83783942,357114,235,0.14,1.07,19
18,THA,Thailand,70039646,69799978,513120,136,0.22,0.89,20
19,GBR,United Kingdom,68401087,67886011,242900,281,0.47,0.87,21
20,FRA,France,65520147,65273511,551695,119,0.23,0.83,22
21,TZA,Tanzania,62539416,59734218,945087,65,2.95,0.78,23
22,ITA,Italy,60320493,60461826,301336,200,-0.16,0.77,24
23,ZAF,South Africa,60474550,59308690,1221037,49,1.24,0.76,25
24,KEN,Kenya,55703607,53771296,580367,95,2.26,0.7,26
25,MMR,Myanmar,55037700,54409800,676578,81,0.73,0.7,27
26,KOR,South Korea,51331264,51269185,100210,512,0.07,0.65,28
27,COL,Colombia,51504213,50882891,1141748,45,0.75,0.65,29
28,UGA,Uganda,47942521,45741007,241550,195,3.02,0.6,30
29,ESP,Spain,46736811,46754778,505992,92,-0.02,0.59,31
30,ARG,Argentina,45847428,45195774,2780400,16,0.91,0.58,32
31,SDN,Sudan,45532863,43849260,1886068,24,2.42,0.57,33
32,DZA,Algeria,45061896,43851044,2381741,19,1.75,0.57,34
33,UKR,Ukraine,43312073,43733762,603500,72,-0.61,0.55,35
34,IRQ,Iraq,41750703,40222493,438317,94,2.38,0.52,36
35,AFG,Afghanistan,40374668,38928346,652230,61,2.33,0.51,37
36,CAN,Canada,38261228,37742154,9984670,4,0.86,0.48,38
37,POL,Poland,37764461,37846611,312679,121,-0.13,0.48,39
38,MAR,Morocco,37599544,36910560,446550,84,1.18,0.47,40
39,SAU,Saudi Arabia,35659227,34813871,2149690,16,1.51,0.45,41
40,UZB,Uzbekistan,34207969,33469203,447400,76,1.39,0.43,42
41,AGO,Angola,34566172,32866272,1246700,27,3.25,0.43,43
42,PER,Peru,33587011,32971854,1285216,26,1.18,0.42,44
43,MYS,Malaysia,33015425,32365999,330803,99,1.27,0.42,45
44,MOZ,Mozambique,32696683,31255435,801590,40,2.9,0.41,46
45,GHA,Ghana,32120718,31072940,238533,133,2.12,0.4,47
46,YEM,Yemen,30882462,29825964,527968,58,2.23,0.39,48
47,NPL,Nepal,29960704,29136808,147181,202,1.85,0.38,49
48,VEN,Venezuela,28842889,28435940,916445,31,0.95,0.36,50
49,MDG,Madagascar,28860961,27691018,587041,48,2.66,0.36,51
