,iso_code,country,2021_population,2020_population,area_km_sq,density_km_sq,growth_rate_%,world_%,rank,Latitude,Longitude
66,ECU,Ecuador,18033738,17643054,276841,65,1.39,0.23,68,-1.3397668,-79.3666965
67,SEN,Senegal,17462688,16743927,196722,87,2.7,0.22,69,14.4750607,-14.4529612
68,NLD,Netherlands,17195298,17134872,41850,410,0.22,0.22,70,52.2434979,5.6343227
69,KHM,Cambodia,17080063,16718965,181035,94,1.36,0.22,71,12.5433216,104.8144914
70,TCD,Chad,17203787,16425864,1284000,13,2.98,0.21,72,15.6134137,19.0156172
71,SOM,Somalia,16634297,15893222,637657,26,2.93,0.21,73,8.3676771,49.083416
72,ZWE,Zimbabwe,15229891,14862924,390757,39,1.54,0.19,74,-18.4554963,29.7468414
73,GIN,Guinea,13709966,13132795,245857,55,2.78,0.17,75,10.7226226,-10.7083587
74,RWA,Rwanda,13466174,12952218,26338,504,2.5,0.17,76,-1.9646631,30.0644358
75,BEN,Benin,12644580,12123200,112622,111,2.7,0.16,77,9.5293472,2.2584408
76,BDI,Burundi,12469663,11890784,27834,440,3.07,0.16,78,-3.426449,29.9324519
77,TUN,Tunisia,12003225,11818619,163610,73,0.99,0.15,79,33.8439408,9.400138
78,BOL,Bolivia,11927124,11673021,1098581,11,1.37,0.15,80,-17.0568696,-64.9912286
79,BEL,Belgium,11658404,11589623,30528,381,0.37,0.15,81,50.6402809,4.6667145
80,HTI,Haiti,11623799,11402528,27750,416,1.22,0.15,82,19.1399952,-72.3570972
81,SSD,South Sudan,11493450,11193725,619745,18,1.68,0.14,83,7.8699431,29.6667897
82,CUB,Cuba,11312548,11326616,109884,103,-0.08,0.14,84,23.0131338,-80.8328748
83,DOM,Dominican Republic,11015774,10847910,48671,225,0.98,0.14,85,19.0974031,-70.3028026
84,CZE,Czech Republic,10732960,10708981,78865,136,0.15,0.14,86,49.7439047,15.3381061
85,GRC,Greece,10340571,10423054,131990,79,-0.5,0.13,87,38.9953683,21.9877132
86,JOR,Jordan,10322902,10203134,89342,115,0.65,0.13,88,31.1667049,36.941628
87,AZE,Azerbaijan,10272912,10139177,86600,118,0.83,0.13,89,40.3936294,47.7872508
88,PRT,Portugal,10150252,10196709,92090,110,-0.28,0.13,90,39.6621648,-8.1353519
89,SWE,Sweden,10196161,10099265,450295,23,0.6,0.13,91,59.6749712,14.5208584
90,HND,Honduras,10156097,9904607,112492,89,1.6,0.13,92,15.2572432,-86.0755145
91,ARE,United Arab Emirates,10051436,9890402,83600,120,1.02,0.13,93,24.0002488,53.9994829
92,TJK,Tajikistan,9873338,9537645,143100,68,2.22,0.12,94,38.6281733,70.8156541
93,HUN,Hungary,9618215,9660351,93028,104,-0.27,0.12,95,47.1817585,19.5060937
94,BLR,Belarus,9438767,9449323,207600,45,-0.07,0.12,96,53.4250605,27.6971358
95,PNG,Papua New Guinea,9220306,8947024,462840,20,1.92,0.12,97,-5.6816069,144.2489081
96,AUT,Austria,9065484,9006398,83871,108,0.41,0.11,98,47.59397,14.12456
97,ISR,Israel,8868656,8655535,20770,423,1.55,0.11,99,30.8124247,34.8594762
